RESUMER ZONES HYDROTEL VERSION;4.1.4.0000

UHRH ID; TYPE; ALTITUDE MOYENNE (m); PENTE MOYENNE; ORIENTATION MOYENNE; NB PIXEL; SUPERFICIE (km2); LONGITUDE; LATITUDE
93;SOUS-BASSIN;373.636810;0.127087;4;5581;13.952500;-71.69920;46.10730
94;SOUS-BASSIN;324.930267;0.121791;7;2882;7.205000;-71.73278;46.11586
95;SOUS-BASSIN;399.580170;0.118166;6;1603;4.007500;-71.69977;46.12243
96;SOUS-BASSIN;277.429688;0.152459;2;1529;3.822500;-71.77447;46.07997
97;SOUS-BASSIN;229.048721;0.098064;5;821;2.052500;-71.75706;46.08875
98;SOUS-BASSIN;288.026062;0.142686;3;1611;4.027500;-71.73487;46.06668
99;SOUS-BASSIN;317.694519;0.118777;6;3732;9.330000;-71.72351;46.08421
100;SOUS-BASSIN;429.824493;0.101786;5;4570;11.425000;-71.65899;46.06965
101;SOUS-BASSIN;332.166473;0.146135;7;877;2.192500;-71.70257;46.07196
102;SOUS-BASSIN;413.162109;0.092275;7;2017;5.042500;-71.67796;46.08843
103;SOUS-BASSIN;403.990143;0.135813;1;304;0.760000;-71.69576;46.08010
104;SOUS-BASSIN;449.842560;0.094615;6;235;0.587500;-71.69676;46.08947
105;SOUS-BASSIN;336.948029;0.150795;2;2078;5.195000;-71.70897;46.04728
106;SOUS-BASSIN;295.726013;0.113676;6;1146;2.865000;-71.69226;46.05819
107;SOUS-BASSIN;282.210724;0.115184;2;261;0.652500;-71.68768;46.04345
108;SOUS-BASSIN;355.273315;0.132611;6;772;1.930000;-71.67576;46.05207
109;SOUS-BASSIN;391.731812;0.116867;2;2487;6.217500;-71.68971;46.02733
110;SOUS-BASSIN;407.547302;0.129351;6;2728;6.820000;-71.65814;46.04493
111;SOUS-BASSIN;338.386108;0.127178;2;461;1.152500;-71.67131;46.02151
112;SOUS-BASSIN;327.972443;0.150913;5;363;0.907500;-71.65955;46.02861
113;SOUS-BASSIN;358.367645;0.110598;2;136;0.340000;-71.66832;46.01709
114;SOUS-BASSIN;308.851074;0.144364;6;94;0.235000;-71.65731;46.02405
115;SOUS-BASSIN;412.216431;0.108302;2;2860;7.150000;-71.67359;46.00669
116;SOUS-BASSIN;418.799805;0.093630;6;5819;14.547500;-71.63129;46.02439
117;SOUS-BASSIN;414.819153;0.094144;1;1609;4.022500;-71.66414;45.99357
118;SOUS-BASSIN;362.533081;0.085615;5;529;1.322500;-71.63991;45.98923
119;SOUS-BASSIN;442.040344;0.083862;8;2380;5.950000;-71.68022;45.98215
120;SOUS-BASSIN;425.140900;0.083787;3;1469;3.672500;-71.65163;45.97185
121;SOUS-BASSIN;402.734131;0.074807;2;252;0.630000;-71.67269;45.96761
122;SOUS-BASSIN;419.625854;0.094291;5;433;1.082500;-71.66283;45.96730
123;SOUS-BASSIN;435.885895;0.075153;2;1902;4.755000;-71.67041;45.95625
124;SOUS-BASSIN;410.528015;0.105010;3;250;0.625000;-71.64123;45.97518
125;SOUS-BASSIN;408.111969;0.104975;5;384;0.960000;-71.63517;45.97961
126;SOUS-BASSIN;490.231201;0.090637;4;1821;4.552500;-71.62425;45.96355
127;SOUS-BASSIN;357.275146;0.115027;3;378;0.945000;-71.63326;45.99352
128;SOUS-BASSIN;456.868774;0.081230;6;3429;8.572500;-71.60571;46.00503
129;SOUS-BASSIN;422.242889;0.121419;2;1408;3.520000;-71.61464;45.97827
130;SOUS-BASSIN;467.740753;0.113093;6;3356;8.390000;-71.59106;45.98605
131;SOUS-BASSIN;483.201294;0.101193;2;2648;6.620000;-71.59415;45.95446
132;SOUS-BASSIN;494.767792;0.074089;6;3600;9.000000;-71.56640;45.96893
133;SOUS-BASSIN;447.599426;0.058619;3;342;0.855000;-71.57117;45.94739
134;SOUS-BASSIN;352.708038;0.105153;2;7665;19.162500;-71.76333;46.03897
135;SOUS-BASSIN;346.705139;0.112677;5;4904;12.260000;-71.73560;46.04422
136;SOUS-BASSIN;442.591766;0.102591;5;5323;13.307500;-71.71782;45.99900
137;SOUS-BASSIN;99.666664;0.020278;1;9;0.022500;-72.10222;46.06224
138;SOUS-BASSIN;99.942307;0.010288;4;52;0.130000;-72.09974;46.06111
139;SOUS-BASSIN;119.919258;0.010905;5;5796;14.490000;-72.06765;46.04361
140;SOUS-BASSIN;84.225426;0.009033;4;1109;2.772500;-72.19597;46.05735
141;SOUS-BASSIN;85.021782;0.014033;6;1010;2.525000;-72.18774;46.06866
142;SOUS-BASSIN;86.593887;0.006928;1;229;0.572500;-72.18539;46.05384
143;SOUS-BASSIN;94.555069;0.010462;5;3641;9.102500;-72.16366;46.05318
144;SOUS-BASSIN;87.603317;0.005947;2;542;1.355000;-72.19068;46.03071
145;SOUS-BASSIN;100.077209;0.011519;5;5103;12.757500;-72.15763;46.02542
146;SOUS-BASSIN;99.284004;0.011102;4;1838;4.595000;-72.17656;46.01073
147;SOUS-BASSIN;80.176468;0.019119;4;17;0.042500;-72.22981;46.04241
148;SOUS-BASSIN;78.521736;0.035436;6;23;0.057500;-72.23127;46.04410
149;SOUS-BASSIN;84.625786;0.006901;5;2544;6.360000;-72.20815;46.02726
150;SOUS-BASSIN;86.355721;0.021679;2;1712;4.280000;-72.25602;46.02723
151;SOUS-BASSIN;79.983627;0.024208;5;916;2.290000;-72.24336;46.02677
152;SOUS-BASSIN;88.518845;0.015778;2;796;1.990000;-72.24859;46.00431
153;SOUS-BASSIN;86.420479;0.011381;5;1094;2.735000;-72.22567;46.00098
154;SOUS-BASSIN;90.319420;0.014885;2;551;1.377500;-72.23156;45.98868
155;SOUS-BASSIN;87.407928;0.018656;5;429;1.072500;-72.22852;45.99365
156;SOUS-BASSIN;101.549469;0.014392;3;3871;9.677500;-72.17635;45.98039
157;SOUS-BASSIN;109.913124;0.015179;7;5180;12.950000;-72.14976;45.99680
158;SOUS-BASSIN;102.666664;0.008882;4;3;0.007500;-72.11954;45.98737
159;SOUS-BASSIN;105.300003;0.043190;6;10;0.025000;-72.12028;45.98806
160;SOUS-BASSIN;116.395859;0.008517;6;917;2.292500;-72.10878;46.00780
161;SOUS-BASSIN;110.137680;0.010203;8;138;0.345000;-72.12105;45.99315
162;SOUS-BASSIN;113.256866;0.008080;7;619;1.547500;-72.11920;46.00274
163;SOUS-BASSIN;114.237686;0.013182;4;2680;6.700000;-72.07928;45.99620
164;SOUS-BASSIN;116.943680;0.013490;7;6055;15.137500;-72.07917;46.01472
165;SOUS-BASSIN;124.556747;0.016953;4;2608;6.520000;-72.01293;46.02209
