Installation de production Saint-Cyrille-de-Wendover;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Annee:2018;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;
Numero de l'intervenant;Nom de l'intervenant;Numero sequentiel du lieu de la declaration;Annee;Mois;Nbr annuel de jours de prelevement;Volume annuel preleve (l);Volume moyen quotidien (l);Nombre de jour de prelevement;Volume dedie par lieu par scian;Volume total mensuel;Source du prelevement (description);Numero sequentiel d'utilisation de la declaration;Numero sequentiel du site de prelevement;Nom legal du lieu ou personne physique;Code scian par lieu par mois (code);Code scian par lieu par mois (description);Code scian par lieu par mois (groupe);Latitude DD Nad83 (site);Longitude DD Nad83 (site);Volume consomme par lieu par scian
Y2008344;Ville de Warwick;28510;2018;4;365;478010000;1995750;30;20313000;20313000;Souterrain;282237;41086;Station de purification Warwick (post.chl.);22131;Reseaux d'aqueduc & systemes d'irrigation;2213  ;45.92968392;-71.9899423;3046950
Y2008344;Ville de Warwick;28510;2018;4;365;635447000;2138516.13;30;59560000;59560000;Souterrain;282238;41087;Station de purification Warwick (post.chl.);22131;Reseaux d'aqueduc & systemes d'irrigation;2213  ;45.9547421;-72.0058644;8934000
15926173;Municipalite de Lambton;28484;2018;4;365;10879900;35909.68;30;844600;844600;Souterrain;281336;41041;Station de purification 2001 - Lambton;22131;Reseaux d'aqueduc & systemes d'irrigation;2213  ;45.8333;-71.0728;831440
15926173;Municipalite de Lambton;28484;2018;4;365;15678600;53451.61;30;1308400;1308400;Souterrain;281337;41035;Station de purification 2001 - Lambton;22131;Reseaux d'aqueduc & systemes d'irrigation;2213  ;45.8327;-71.0727;1288760
15926173;Municipalite de Lambton;28484;2018;4;365;27898700;88010;30;2180800;2180800;Souterrain;281338;41038;Station de purification 2001 - Lambton;22131;Reseaux d'aqueduc & systemes d'irrigation;2213  ;45.8381;-71.08;2148200
15926173;Municipalite de Lambton;28484;2018;4;365;14553000;45970;30;1190100;1190100;Souterrain;281339;41037;Station de purification 2001 - Lambton;22131;Reseaux d'aqueduc & systemes d'irrigation;2213  ;45.8322;-71.0753;1170460
15926173;Municipalite de Lambton;28484;2018;4;365;20464900;68393.55;30;1745900;1745900;Souterrain;281340;41036;Station de purification 2001 - Lambton;22131;Reseaux d'aqueduc & systemes d'irrigation;2213  ;45.83;-71.075;1719780
15926173;Municipalite de Lambton;28484;2018;4;365;43689400;143733.33;30;3459200;3459200;Souterrain;281341;41040;Station de purification 2001 - Lambton;22131;Reseaux d'aqueduc & systemes d'irrigation;2213  ;45.8372;-71.079;3406950
15926173;Municipalite de Lambton;28484;2018;4;365;32427900;107610;30;2698000;2698000;Souterrain;281342;41039;Station de purification 2001 - Lambton;22131;Reseaux d'aqueduc & systemes d'irrigation;2213  ;45.8368;-71.0802;2658710
13436449;Municipalite de Saint-Jean-de-Dieu;29667;2018;4;365;57472000;214161.29;30;5661000;5661000;Souterrain;281978;42347;Station de purification Saint-Jean-de-Dieu;22131;Reseaux d'aqueduc & systemes d'irrigation;2213  ;48.01014;-69.0378;NULL
