No_Simulation,KGE,bv3c_C1,bv3c_C2,bv3c_C3,bv3c_CR,djm_SFF,djm_SFC,djm_SFO,djm_TFF,djm_TFC,djm_TFO,ETP,THI,Conductivite,Manning_riviere
173,0.86964,0.087467,0.1,9.2516,1.799e-07,1,1,1,5.0732,3.3828,7.6082,0.71669,0.79656,0.2,0.021
174,0.83837,0.052388,0.1,9.2516,1.799e-07,1,1,1,5.0732,3.5893,7.1706,0.71669,0.79656,0.2,0.021
175,0.86982,0.087467,0.1,9.2516,1.799e-07,0.85698,0.85698,0.85698,5.0732,3.5893,7.1706,0.71669,0.79656,0.2,0.021
176,0.84483,0.087467,0.1,9.2516,1.799e-07,1,1,1,5.0732,3.5893,7.1706,0.64208,0.79656,0.2,0.021
177,0.65195,0.087467,0.1,9.2516,9.7466e-06,1,1,1,5.0732,3.5893,7.1706,0.71669,0.79656,0.2,0.021
178,0.86534,0.10591,0.1,9.2516,1.799e-07,1,1,1,5.0732,3.5893,7.1706,0.71669,0.79656,0.2,0.021
179,0.85069,0.12081,0.1,9.2516,5.3633e-07,1,1,1,5.0732,3.5893,7.1706,0.71669,0.79656,0.2,0.021
180,0.86522,0.091083,0.1,9.2516,1.799e-07,1,1,1,5.0732,3.5593,7.2309,0.71669,0.79656,0.2,0.028499
181,0.86746,0.087467,0.1,9.2516,1.799e-07,1,1,1,5.0732,3.5893,7.1706,0.71669,0.79656,0.13018,0.021
182,0.84675,0.087467,0.1,9.2516,1.799e-07,1,1,1,5.0732,3.5893,7.1706,0.64584,0.79656,0.2,0.021
183,0.87056,0.087467,0.1,9.2516,1.799e-07,1,1,1,5.0732,3.5893,7.1706,0.71669,0.79656,0.2,0.021
184,0.83652,0.087467,0.1,9.2516,1.799e-07,1,1,1,3,2.1225,4.2403,0.76199,0.79656,0.2,0.021
185,0.86658,0.087467,0.1,9.2516,1.799e-07,1,1,1,5.0732,3.5893,7.1706,0.71669,0.79656,0.11846,0.021
186,0.87058,0.087467,0.1,9.3006,1.7895e-07,1,1,1,5.0732,3.5893,7.1706,0.71669,0.79656,0.2,0.021
187,0.87005,0.087467,0.1,9.3006,6.6989e-08,1,1.0861,0.91391,5.0732,3.5893,7.1706,0.71669,0.79656,0.2,0.021
188,0.8547,0.087467,0.1,9.3006,1.7895e-07,1,1,1,7.0214,4.9676,9.9242,0.71669,0.79656,0.2,0.021
189,0.87015,0.087467,0.1,9.3006,2.492e-09,1,1,1,5.0732,3.5893,7.1706,0.71669,0.79656,0.2,0.021
190,0.8538,0.087467,0.1,9.3006,1.7895e-07,1,1,1,5.0732,3.5893,7.1706,0.71669,0.79656,0.2,0.044714
191,0.86984,0.087467,0.1,9.3006,1.7895e-07,1,1,1,5.0732,3.5893,7.1706,0.71669,0.79656,0.18157,0.021
192,0.53913,0.087467,0.52359,9.3006,1.7895e-07,1,1,1,5.0732,3.5893,7.1706,0.71669,0.79656,0.2,0.021
193,0.87101,0.087467,0.1,9.3006,5.4241e-07,1,1,1,5.0732,3.5893,7.1706,0.71669,0.79656,0.2,0.021
194,0.86982,0.087467,0.1,9.5368,5.2898e-07,1,1,1,5.0732,3.5893,7.1706,0.71669,0.79656,0.2,0.021
195,0.86933,0.087467,0.1,9.3006,5.4241e-07,1,1,1,5.0732,3.9458,6.5227,0.71669,0.79656,0.2,0.021
196,0.77706,0.087467,0.18799,9.3006,2.6184e-06,1,1,1,5.0732,3.5893,7.1706,0.71669,0.79656,0.2,0.021
197,0.84588,0.087467,0.1498,9.3006,5.4241e-07,1,1,1,5.0732,3.5893,7.1706,0.71669,0.79656,0.2,0.021
198,0.8497,0.12269,0.1,9.6581,5.2234e-07,1,1,1,5.0732,3.8191,6.7391,0.71669,0.79656,0.2,0.021
199,0.87099,0.087467,0.1,9.3006,5.4241e-07,0.99532,0.99532,0.99532,5.0732,3.5893,7.1706,0.71669,0.79656,0.2,0.021
200,0.87101,0.087467,0.1,9.3006,5.4241e-07,1,1,1,5.0732,3.5893,7.1706,0.71669,0.79656,0.2,0.021
201,0.87052,0.087467,0.1,9.3006,1.5286e-07,1,1,1,5.0732,3.5893,7.1706,0.71669,0.79656,0.2,0.021
202,0.87084,0.087467,0.1,9.3006,5.4241e-07,1,1,1,5.0732,3.5893,7.1706,0.71669,0.76873,0.2,0.021
203,0.80974,0.087467,0.1,9.3006,5.4241e-07,1,2.9472,-0.9472,5.0732,3.5893,7.1706,0.71669,0.79656,0.2,0.021
204,0.86373,0.087467,0.1,9.3006,5.4241e-07,1,1.4436,0.55636,5.0732,3.5893,7.1706,0.71669,0.79656,0.2,0.021
