209;  0.0000
210;  0.0003
211;  0.0005
212;  0.0002
213;  0.0001
214;  0.0010
215;  0.0001
216;  0.0002
217;  0.0007
218;  0.0020
219;  0.0037
220;  0.0054
221;  0.0044
222;  0.0013
223;  0.0110
224;  0.0017
225;  0.0030
226;  0.0031
227;  0.0003
228;  0.0003
229;  0.0009
230;  0.0018
231;  0.0003
232;  0.0005
233;  0.0013
234;  0.0048
235;  0.0045
236;  0.0031
237;  0.0020
238;  0.0027
239;  0.0057
240;  0.0042
241;  0.0008
242;  0.0019
243;  0.0004
244;  0.0014
245;  0.0007
246;  0.0049
247;  0.0087
248;  0.0004
249;  0.0000
250;  0.0101
251;  0.0104
252;  0.0004
253;  0.0067
254;  0.0009
255;  0.0008
256;  0.0005
257;  0.0006
258;  0.0001
259;  0.0021
260;  0.0003
261;  0.0049
262;  0.0022
263;  0.0018
264;  0.0019
265;  0.0002
266;  0.0031
267;  0.0006
268;  0.0033
269;  0.0022
270;  0.0004
271;  0.0081
272;  0.0003
273;  0.0007
274;  0.0043
275;  0.0016
276;  0.0067
277;  0.0015
278;  0.0027
279;  0.0003
280;  0.0008
281;  0.0021
282;  0.0027
283;  0.0038
284;  0.0045
285;  0.0014
286;  0.0000
287;  0.0026
288;  0.0020
289;  0.0013
290;  0.0005
291;  0.0039
292;  0.0123
293;  0.0006
294;  0.0030
295;  0.0018
296;  0.0030
297;  0.0011
298;  0.0027
299;  0.0061
300;  0.0017
301;  0.0024
302;  0.0066
303;  0.0070
304;  0.0062
305;  0.0015
306;  0.0063
307;  0.0041
308;  0.0005
309;  0.0027
310;  0.0004
311;  0.0001
312;  0.0004
313;  0.0000
314;  0.0022
315;  0.0023
316;  0.0070
317;  0.0011
318;  0.0069
319;  0.0007
320;  0.0006
321;  0.0028
322;  0.0006
323;  0.0010
324;  0.0001
325;  0.0000
326;  0.0021
327;  0.0004
328;  0.0022
329;  0.0008
330;  0.0017
331;  0.0092
332;  0.0026
333;  0.0005
334;  0.0036
335;  0.0119
336;  0.0030
337;  0.0036
338;  0.0024
339;  0.0014
340;  0.0016
341;  0.0031
342;  0.0036
343;  0.0021
344;  0.0004
345;  0.0004
346;  0.0009
347;  0.0027
348;  0.0063
349;  0.0003
350;  0.0008
351;  0.0024
352;  0.0002
353;  0.0000
354;  0.0016
355;  0.0100
356;  0.0020
357;  0.0045
358;  0.0030
359;  0.0064
360;  0.0028
361;  0.0016
362;  0.0018
363;  0.0034
364;  0.0000
